0,CombatZoneResize,133,251,508,391,,,
0,HeartTeleport,320,377,,,,,
0,HeartMode,1,,,,,,
0.4,SET,T3,8,,,,,
0,:LOOP1,,,,,,,
0,RND,BAT,30,,,,,
0,ADD,T1,$BAT,20,,,,
0,DIV,T2,$T1,80,,,,
$T2,SUB,BH1,371,$BAT,,,,
0,SUB,BH2,386,$BH1,,,,
0,RND,S1,50,,,,,
0,ADD,S2,$S1,200,,,,
0,RND,S3,50,,,,,
0,ADD,S4,$S3,200,,,,
0,BoneVRepeat,128,$BH1,$BH2,0,$S2,2,12
0,BoneVRepeat,503,$BH1,$BH2,2,$S4,2,12
0,SUB,BH3,115,$BH2,,,,
0,BoneVRepeat,128,256,$BH3,0,$S2,2,12
0,BoneVRepeat,503,256,$BH3,2,$S4,2,12
$T2,SUB,T3,$T3,$T2,,,,
0,JMPNL,LOOP1,$T3,1,,,,
0,ADD,T4,$T3,0.4,,,,
$T4,EndAttack,,,,,,,
