0,BlackScreen,1,,,,,,,
0,Sound,flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,Sound,flash,,,,,,,
0,SET,LOOP,8,,,,,,
0,:LOOP0,,,,,,,,
0,RND,RA,13,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,flash,,,,,,,
0.1,BlackScreen,0,,,,,,,
0,Sound,flash,,,,,,,
0,JMPE,RA1,$RA,1,,,,,
0,JMPE,RA2,$RA,2,,,,,
0,JMPE,RA3,$RA,3,,,,,
0,JMPE,RA4,$RA,4,,,,,
0,JMPE,RA5,$RA,5,,,,,
0,JMPE,RA6,$RA,6,,,,,
0,JMPE,RA7,$RA,7,,,,,
0,JMPE,RA8,$RA,8,,,,,
0,JMPE,RA9,$RA,9,,,,,
0,JMPE,RA10,$RA,10,,,,,
0,JMPE,RA11,$RA,11,,,,,
0,JMPE,RA12,$RA,12,,,,,
0,CombatZoneResizeInstant,133,226,508,391,,,,
0,HeartTeleport,320,308,,,,,,
0,HeartMode,0,,,,,,,
0,SET,LOOP1,19,,,,,,
0,SET,A,0,,,,,,
0,:LOOP1,,,,,,,,
0,SIN,Y1,$A,,,,,,
0,MUL,Y2,$Y1,25,,,,,
0,ADD,Y3,$Y2,60,,,,,
0,BoneV,128,231,$Y3,0,400,,,
0,BoneV,503,231,$Y3,2,400,,,
0,ADD,Y4,$Y3,253,,,,,
0,SUB,H1,386,$Y4,,,,,
0,BoneV,128,$Y4,$H1,0,400,,,
0,BoneV,503,$Y4,$H1,2,400,,,
0,ADD,A,$A,30,,,,,
0,SUB,LOOP1,$LOOP1,1,,,,,
0.1,JMPNZ,LOOP1,$LOOP1,,,,,,
0,JMPABS,AE,,,,,,,
0,:RA1,,,,,,,,
0,CombatZoneResizeInstant,133,226,403,391,,,,
0,HeartTeleport,158,308,,,,,,
0,HeartMode,0,,,,,,,
0,SineBones,35,25,450,50,,,,
0,SET,LOOP2,7,,,,,,
0,SET,X1,158,,,,,,
0,:LOOP2,,,,,,,,
0,GasterBlaster,1,0,0,$X1,180,90,0.07,0.2
0,ADD,X1,$X1,30,,,,,
0,SUB,LOOP2,$LOOP2,1,,,,,
0.2,JMPNZ,LOOP2,$LOOP2,,,,,,
0.5,JMPABS,AE,,,,,,,
0,:RA2,,,,,,,,
0,CombatZoneResizeInstant,238,226,508,391,,,,
0,HeartTeleport,483,308,,,,,,
0,HeartMode,0,,,,,,,
0,SineBones,35,-25,450,50,,,,
0,SET,LOOP3,7,,,,,,
0,SET,X1,483,,,,,,
0,:LOOP3,,,,,,,,
0,GasterBlaster,1,640,0,$X1,180,90,0.07,0.2
0,SUB,X1,$X1,30,,,,,
0,SUB,LOOP3,$LOOP3,1,,,,,
0.2,JMPNZ,LOOP3,$LOOP3,,,,,,
0.5,JMPABS,AE,,,,,,,
0,:RA3,,,,,,,,
0,CombatZoneResizeInstant,133,251,508,391,,,,
0,HeartTeleport,320,377,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,50,0.65,9,,,,
0.2,SET,LOOP4,12,,,,,,
0,SET,Y1,85,,,,,,
0,SET,XL,128,,,,,,
0,SET,XR,503,,,,,,
0,:LOOP4,,,,,,,,
0,BoneV,$XL,256,$Y1,0,600,,,
0,BoneV,$XR,256,$Y1,2,600,,,
0,ADD,Y2,$Y1,281,,,,,
0,SUB,Y3,386,$Y2,,,,,
0,BoneV,$XL,$Y2,$Y3,0,600,,,
0,BoneV,$XR,$Y2,$Y3,2,600,,,
0,SUB,Y1,$Y1,3.75,,,,,
0,SUB,XL,$XL,15,,,,,
0,ADD,XR,$XR,15,,,,,
0,SUB,LOOP4,$LOOP4,1,,,,,
0,JMPNZ,LOOP4,$LOOP4,,,,,,
