0,CombatZoneResize,117,186,522,391,,,,
0,HeartTeleport,320,308,,,,,,
0,HeartMode,0,,,,,,,
0,SET,LOOP1,24,,,,,,
0,:LOOP1,,,,,,,,
0,RND,A1,360,,,,,,
0,GetHeartPos,HX,HY,,,,,,
0,COS,X1,$A1,,,,,,
0,SIN,Y1,$A1,,,,,,
0,MUL,X2,$X1,180,,,,,
0,MUL,Y2,$Y1,180,,,,,
0,ADD,X3,$X2,$HX,,,,,
0,ADD,Y3,$Y2,$HY,,,,,
0,MUL,X4,$X1,600,,,,,
0,MUL,Y4,$Y1,600,,,,,
0,ADD,X5,$X4,$HX,,,,,
0,ADD,Y5,$Y4,$HY,,,,,
0,SUB,A2,$A1,180,,,,,
0,GasterBlaster,1,$X5,$Y5,$X3,$Y3,$A2,0.4,0.1
0,SET,LOOP2,12,,,,,,
0,SET,A3,0,,,,,,
0,:LOOP2,,,,,,,,
0,COS,XA,$A3,,,,,,
0,SIN,YA,$A3,,,,,,
0,MUL,XB,$XA,80,,,,,
0,MUL,YB,$YA,80,,,,,
0,ADD,XC,$XB,$HX,,,,,
0,ADD,YC,$YB,$HY,,,,,
0,MUL,XD,$XA,600,,,,,
0,MUL,YD,$YA,600,,,,,
0,ADD,XE,$XD,$HX,,,,,
0,ADD,YE,$YD,$HY,,,,,
0,ADD,A4,$A3,90,,,,,
0,GasterBlaster,1,$XE,$YE,$XC,$YC,$A4,0.4,0.1
0,SUB,A3,$A3,30,,,,,
0,SUB,LOOP2,$LOOP2,1,,,,,
0,JMPNZ,LOOP2,$LOOP2,,,,,,
0,BoneV,112,191,195,0,480,1,,
0,BoneV,517,191,195,2,480,1,,
0,SUB,LOOP1,$LOOP1,1,,,,,
0.8,JMPNZ,LOOP1,$LOOP1,,,,,,
1.2,EndAttack,,,,,,,,
